Occupation 2010 Description,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
"Management, Business, Science, and Arts Occupations",0010-3540,,,,,
"Management, Business, and Financial Occupations",0010-3540,0010-0950,,,,
Management Occupations:,0010-3540,0010-0950,0010-0430,,,
Top executives,0010-3540,0010-0950,0010-0430,0010-0030,,
Chief executives,0010-3540,0010-0950,0010-0430,0010-0030,0010,0010
General and operations managers,0010-3540,0010-0950,0010-0430,0010-0030,0020,0020
Legislators,0010-3540,0010-0950,0010-0430,0010-0030,0030,0030
"Advertising, marketing, promotions, public relations, and sales managers",0010-3540,0010-0950,0010-0430,0040-0060,,
Advertising and promotions managers,0010-3540,0010-0950,0010-0430,0040-0060,0040,0040
Marketing and sales managers,0010-3540,0010-0950,0010-0430,0040-0060,0050,0050
Public relations and fundraising managers,0010-3540,0010-0950,0010-0430,0040-0060,0060,0060
Operations specialties managers except financial managers and human resources managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",,
Administrative services managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0100,0100
Computer and information systems managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0110,0110
Financial managers,0010-3540,0010-0950,0010-0430,0120,0120,0120
Compensation and benefits managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0135,0135
Human resources managers,0010-3540,0010-0950,0010-0430,0136,0136,0136
Training and development managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0137,0137
Industrial production managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0140,0140
Purchasing managers,0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0150,0150
"Transportation, storage, and distribution managers",0010-3540,0010-0950,0010-0430,"0100-0110, 0135, 0137-0160",0160,0160
"Farmers, ranchers, and other agricultural managers",0010-3540,0010-0950,0010-0430,0205,0205,0205
"Other management occupations except farmers, ranchers, and other agricultural managers",0010-3540,0010-0950,0010-0430,0220-0430,,
Construction managers,0010-3540,0010-0950,0010-0430,0220-0430,0220,0220
Education administrators,0010-3540,0010-0950,0010-0430,0220-0430,0230,0230
Architectural and engineering managers,0010-3540,0010-0950,0010-0430,0220-0430,0300,0300
