2010 OCCP,2012 OCCP,Total Conversion Rate
6430,6420,1
6500,6220,1
7550,7630,1
7960,7950,1
8000,7950,1
8010,7950,1
8060,8100,1
8150,8220,1
8200,8220,1
8210,8220,1
8340,8330,1
8860,8965,1
9230,9260,1
8220,7950,0.0055
8220,8220,0.9945
51-4XXX,51-4030,0.0055
51-4XXX,51-4XXX,0.9945
